index,Przeciwnik,Gole strzelone,Gole stracone,Miejsce,Dzień_tygodnia,Godzina,Waznosc
205,Górnik Zabrze,3,2,Na wyjeździe,Niedziela,15:00,0.6
206,Warta Poznań,0,0,U siebie,Sobota,20:00,0.9
207,Cracovia Kraków,1,0,Na wyjeździe,Sobota,17:45,0.6
208,Stal Mielec,2,1,U siebie,Niedziela,12:30,0.9
209,Zagłębie Lubin,1,1,Na wyjeździe,Sobota,15:00,0.6
210,Podbeskidzie Bielsko-Biała,2,0,Na wyjeździe,Sobota,17:45,0.6
211,Wisła Kraków,3,0,U siebie,Sobota,20:00,0.9
212,Śląsk Wrocław,1,0,U siebie,Niedziela,15:00,0.9
213,Piast Gliwice,0,1,Na wyjeździe,Sobota,17:45,0.6
214,Legia Warszawa,2,4,Na wyjeździe,Niedziela,17:30,0.6
215,Raków Częstochowa,1,0,U siebie,Sobota,20:00,0.9
216,Lechia Gdańsk,2,1,U siebie,Sobota,17:45,0.9
217,Jagiellonia Białystok,1,1,Na wyjeździe,Niedziela,15:00,0.6
218,Górnik Zabrze,2,2,U siebie,Sobota,20:00,0.9
219,Warta Poznań,1,0,Na wyjeździe,Sobota,17:45,0.6
220,Cracovia Kraków,0,0,U siebie,Niedziela,15:00,0.9
221,Stal Mielec,1,1,Na wyjeździe,Sobota,17:45,0.6
222,Zagłębie Lubin,3,1,U siebie,Sobota,20:00,0.9
223,Podbeskidzie Bielsko-Biała,4,1,U siebie,Sobota,20:00,0.9
224,Wisła Kraków,2,1,Na wyjeździe,Niedziela,12:30,0.6
225,Śląsk Wrocław,0,1,Na wyjeździe,Sobota,17:45,0.6
226,Piast Gliwice,2,0,U siebie,Sobota,20:00,0.9
227,Legia Warszawa,3,0,U siebie,Niedziela,17:30,0.9
228,Raków Częstochowa,1,1,Na wyjeździe,Poniedziałek,18:00,0.6
229,Lechia Gdańsk,1,1,Na wyjeździe,Sobota,15:00,0.6
230,Jagiellonia Białystok,2,0,U siebie,Sobota,17:45,0.9
231,Górnik Zabrze,3,2,Na wyjeździe,Niedziela,15:00,0.6
232,Warta Poznań,0,0,U siebie,Sobota,20:00,0.9
233,Cracovia Kraków,1,0,Na wyjeździe,Sobota,17:45,0.6
234,Stal Mielec,2,1,U siebie,Niedziela,12:30,0.9
235,Zagłębie Lubin,1,1,Na wyjeździe,Sobota,15:00,0.6
236,Podbeskidzie Bielsko-Biała,2,0,Na wyjeździe,Sobota,17:45,0.6
237,Wisła Kraków,3,0,U siebie,Sobota,20:00,0.9
238,Śląsk Wrocław,1,0,U siebie,Niedziela,15:00,0.9
239,Piast Gliwice,0,1,Na wyjeździe,Sobota,17:45,0.6
240,Legia Warszawa,2,4,Na wyjeździe,Niedziela,17:30,0.6
241,Raków Częstochowa,1,0,U siebie,Sobota,20:00,0.9
242,Lechia Gdańsk,2,1,U siebie,Sobota,17:45,0.9
243,Jagiellonia Białystok,1,1,Na wyjeździe,Niedziela,15:00,0.6
244,Górnik Zabrze,2,2,U siebie,Sobota,20:00,0.9
245,Warta Poznań,1,0,Na wyjeździe,Sobota,17:45,0.6
246,Cracovia Kraków,0,0,U siebie,Niedziela,15:00,0.9
247,Stal Mielec,1,1,Na wyjeździe,Sobota,17:45,0.6
248,Zagłębie Lubin,3,1,U siebie,Sobota,20:00,0.9
249,Podbeskidzie Bielsko-Biała,4,1,U siebie,Sobota,20:00,0.9
250,Wisła Kraków,2,1,Na wyjeździe,Niedziela,12:30,0.6
251,Śląsk Wrocław,0,1,Na wyjeździe,Sobota,17:45,0.6
252,Piast Gliwice,2,0,U siebie,Sobota,20:00,0.9
253,Legia Warszawa,3,0,U siebie,Niedziela,17:30,0.9
254,Raków Częstochowa,1,1,Na wyjeździe,Poniedziałek,18:00,0.6
255,Lechia Gdańsk,1,1,Na wyjeździe,Sobota,15:00,0.6
256,Jagiellonia Białystok,2,0,U siebie,Sobota,17:45,0.9
257,Górnik Zabrze,3,2,Na wyjeździe,Niedziela,15:00,0.6
258,Warta Poznań,0,0,U siebie,Sobota,20:00,0.9
259,Cracovia Kraków,1,0,Na wyjeździe,Sobota,17:45,0.6
260,Stal Mielec,2,1,U siebie,Niedziela,12:30,0.9
261,Zagłębie Lubin,1,1,Na wyjeździe,Sobota,15:00,0.6
262,Podbeskidzie Bielsko-Biała,2,0,Na wyjeździe,Sobota,17:45,0.6
263,Wisła Kraków,3,0,U siebie,Sobota,20:00,0.9
264,Śląsk Wrocław,1,0,U siebie,Niedziela,15:00,0.9
265,Piast Gliwice,0,1,Na wyjeździe,Sobota,17:45,0.6
266,Legia Warszawa,2,4,Na wyjeździe,Niedziela,17:30,0.6
267,Raków Częstochowa,1,0,U siebie,Sobota,20:00,0.9
268,Lechia Gdańsk,2,1,U siebie,Sobota,17:45,0.9
269,Jagiellonia Białystok,1,1,Na wyjeździe,Niedziela,15:00,0.6
270,Górnik Zabrze,2,2,U siebie,Sobota,20:00,0.9
271,Warta Poznań,1,0,Na wyjeździe,Sobota,17:45,0.6
272,Cracovia Kraków,0,0,U siebie,Niedziela,15:00,0.9
273,Stal Mielec,1,1,Na wyjeździe,Sobota,17:45,0.6
274,Zagłębie Lubin,3,1,U siebie,Sobota,20:00,0.9
275,Podbeskidzie Bielsko-Biała,4,1,U siebie,Sobota,20:00,0.9
276,Wisła Kraków,2,1,Na wyjeździe,Niedziela,12:30,0.6
277,Śląsk Wrocław,0,1,Na wyjeździe,Sobota,17:45,0.6
278,Piast Gliwice,2,0,U siebie,Sobota,20:00,0.9
279,Legia Warszawa,3,0,U siebie,Niedziela,17:30,0.9
280,Raków Częstochowa,1,1,Na wyjeździe,Poniedziałek,18:00,0.6
281,Lechia Gdańsk,1,1,Na wyjeździe,Sobota,15:00,0.6
282,Jagiellonia Białystok,2,0,U siebie,Sobota,17:45,0.9
283,Górnik Zabrze,3,2,Na wyjeździe,Niedziela,15:00,0.6
284,Warta Poznań,0,0,U siebie,Sobota,20:00,0.9
285,Cracovia Kraków,1,0,Na wyjeździe,Sobota,17:45,0.6
286,Stal Mielec,2,1,U siebie,Niedziela,12:30,0.9
